Name,Observed Wavelength of H-alpha,Apparent Mag,RA J2000.0,Dec J2000.0
PGC040834,6582.280958410933,14.297225300346824,12 27 18.7,+08 12 46
PGC040835,6597.679977924353,13.06949135688162,12 27 20.4,+16 25 42
PGC040838,6598.885927318881,13.175537115805287,12 27 21.1,+13 06 41
PGC040840,6603.687882761867,15.077611685811675,12 27 22.2,+12 04 07
IC3371,6579.462645622496,13.167804283429202,12 27 22.2,+10 52 00
PGC040841,6589.263085712682,12.229070554159026,12 27 23.5,+12 19 54
PGC040844,6576.6630065025665,12.276248503684492,12 27 24.6,+13 42 58
EVCC0658,6595.317160545015,14.644803683709522,12 27 25.0,+19 15 49
PGC040848,6578.154420315303,13.243449146141572,12 27 25.5,+13 45 03
NGC4430,6584.242258669,13.694283253636925,12 27 26.3,+06 15 47
NGC4429,6581.1626289530395,12.663008986354534,12 27 26.5,+11 06 28
PGC1279440,6583.92529397248,14.509104497984247,12 27 27.0,+05 11 17
NGC4431,6590.431345030581,12.570818180048839,12 27 27.4,+12 17 25
UGC07567,6567.236743725037,12.228181249815702,12 27 29.1,+07 38 37
PGC040867,6575.123083268157,13.22958870395972,12 27 30.1,+09 20 25
PGC040869,6586.695194683884,13.917383249562768,12 27 31.8,+09 35 45
PGC040872,6591.177788178884,14.53816385013775,12 27 32.0,+11 36 55
IC3374,6570.740790035801,14.653049061974293,12 27 33.4,+10 00 12
PGC040881,6585.675840364942,11.791342898593797,12 27 34.8,+15 44 22
NGC4434,6557.563407963635,11.54163310603273,12 27 36.7,+08 09 16
PGC040893,6599.199198934611,12.181067701276142,12 27 37.6,+14 27 20
PGC040889,6596.025625592043,11.403983538896057,12 27 38.8,+18 26 04
NGC4435,6609.298104450871,14.594097908743418,12 27 40.5,+13 04 44
PGC040899,6568.395616993168,14.420201581334716,12 27 40.7,+15 56 42
NGC4436,6600.495879270543,13.994458185858157,12 27 41.3,+12 18 57
PGC040906,6595.238183360739,13.79820831934056,12 27 42.1,+12 05 23
PGC040912,6580.011140896912,14.22412359413893,12 27 44.3,+11 12 53
PGC040913,6592.195548173113,13.286833508842683,12 27 44.5,+12 59 03
NGC4438,6590.466353041727,12.69433106396989,12 27 45.5,+13 00 33
PGC040917,6592.694118279357,12.015894709270782,12 27 46.3,+11 26 07
PGC135803 = HIcl,6556.670359068181,14.70347022986585,12 27 46.3,+01 35 59
NGC4440,6604.779864024847,15.12074229982122,12 27 53.6,+12 17 36
UGC07580,6578.0833992328835,12.37097805383237,12 27 54.8,+08 05 26
UGC07579,6570.407659151522,11.203559712054425,12 27 55.4,+05 43 16
PGC040946,6598.994853487553,13.498572156309194,12 28 00.4,+11 56 59
PGC040948,6589.071618087828,14.092555352618234,12 28 02.0,+15 26 40
UGC07584,6604.582277473546,7.479448180950328,12 28 02.8,+22 35 16
PGC040951,6580.632969703939,14.138673064379052,12 28 03.7,+02 54 36
NGC4442,6573.786402204587,11.512236846986543,12 28 03.9,+09 48 13
PGC200170,6602.599029821485,11.109490324657997,12 28 04.9,+13 36 43
PGC040957,6602.74393341975,14.238111592963975,12 28 05.0,+13 34 41
KKH80,6581.0322107870315,10.600282828434445,12 28 05.0,+22 17 27
PGC3089432,6610.811953244738,11.819652635077922,12 28 05.5,+26 40 22
PGC040958,6584.485554369326,13.040434287505072,12 28 06.5,+12 53 53
IC0794,6604.717156374545,14.006655906865596,12 28 08.6,+12 05 36
VLSB-B,6600.621915556192,13.165681482232216,12 28 10.6,+12 43 28
PGC040974,6598.04746063766,13.35818440419511,12 28 11.3,+09 45 37
PGC040972,6589.418120909036,13.295565822714174,12 28 12.0,+10 21 54
IC3383,6569.768212555809,13.11411673341803,12 28 12.3,+10 17 52
IC3384,6583.580305478604,12.615057810932264,12 28 12.8,+25 05 22
PGC040969,6597.9354472110035,14.764209287184173,12 28 12.8,+10 31 34
IC3381,6582.516942119931,14.786554387487968,12 28 14.9,+11 47 23
NGC4445,6600.0351980181595,12.907601103107076,12 28 15.9,+09 26 11
PGC139866,6569.447305034018,12.72363965273954,12 28 15.9,+02 42 03
PGC1207185,6570.929952015573,11.87497276722307,12 28 16.0,+01 49 44
PGC040995,6571.17917903371,13.834957202471863,12 28 18.7,+11 42 01
UGC07590,6577.239364668674,13.280732747824839,12 28 18.8,+08 43 46
PGC041000,6565.057583925072,14.271391642544089,12 28 20.7,+08 00 42
PGC041007,6600.83944680838,14.635194195648609,12 28 23.7,+13 11 45
PGC041006,6573.00589601719,14.13022051519459,12 28 24.0,+11 25 14
SDSSJ122825.86+111424.9,6566.839601026919,14.325022168692314,12 28 25.9,+11 14 25
PGC041016,6557.351812097527,13.530862242035127,12 28 27.2,+06 56 45
IC3391,6584.190775419065,14.082907666931682,12 28 27.3,+18 24 54
IC3388,6577.068368679672,13.455449382801266,12 28 28.1,+12 49 25
NGC4450,6593.478682071659,13.67732651529181,12 28 29.5,+17 05 06
PGC041027,6586.717368821817,12.541959496970307,12 28 30.5,+07 19 29
UGC07596,6566.343066895804,15.20545725962186,12 28 33.9,+08 38 23
NGC4451,6588.117828082421,13.057998147478717,12 28 40.5,+09 15 32
PGC041056,6574.430770910876,14.477945306344058,12 28 41.5,+07 48 15
IC3393,6585.756396738994,12.395743854672915,12 28 41.7,+12 54 57
PGC041059,6576.498507177632,13.479420901874917,12 28 42.6,+12 32 59
IC3392,6583.949123249255,11.92772914938216,12 28 43.3,+14 59 58
NGC4452,6581.690815722877,13.424977401567894,12 28 43.3,+11 45 18
NGC4455,6582.723722847335,10.840444154498758,12 28 44.1,+22 49 16
PGC041068,6575.733412613736,13.595229872724396,12 28 44.9,+12 48 35
NGC4454,6581.156904117558,12.050058044007805,12 28 50.7,-01 56 21
PGC041084,6580.118817902044,12.575286375422152,12 28 50.8,-02 03 39
PGC041090,6567.803571730712,13.88554827903836,12 28 54.9,+09 25 16
PGC041091,6576.530307136159,13.650019449613701,12 28 55.4,+08 49 01
NGC4458,6580.792183011457,10.50958351809232,12 28 57.6,+13 14 31
PGC3294335,6580.08070822509,9.454919994642768,12 28 57.9,-01 36 10
PGC041098,6585.162482252888,12.581683774066441,12 28 58.1,+12 39 42
NGC4457,6575.134821124277,12.402826277550169,12 28 59.0,+03 34 14
PGC041102,6606.99768331054,10.845418508252035,12 28 59.8,+12 38 54
NGC4459,6576.565816718986,14.66816329286349,12 29 00.0,+13 58 43
DDO128,6566.4475878023695,12.180793277074013,12 29 02.2,+02 43 22
NGC4461,6592.666522302731,14.842841648977775,12 29 03.0,+13 11 02
PGC083543,6576.69997080303,13.720397552820344,12 29 03.9,+00 06 13
PGC041120,6595.231043924338,13.915029750645651,12 29 06.4,+14 00 18
PGC041124,6586.580005923819,12.989953307178457,12 29 08.2,+09 26 38
PGC041140,6557.205781770576,10.972990637203495,12 29 14.0,-01 21 22
PGC1120391,6565.696102386417,14.679994700626125,12 29 14.6,-01 21 55
PGC041130,6580.011197778319,12.903822654658576,12 29 14.6,+07 52 39
PGC041136,6612.833597883108,14.895912879951915,12 29 14.9,+12 58 41
PGC041137,6567.99526489681,13.597246658660907,12 29 15.3,+08 48 52
PGC041144,6584.542409347787,14.795938805237029,12 29 18.2,+10 08 09
KDG141,6582.161121816,11.401488285853986,12 29 21.2,+16 48 23
NGC4464,6592.91141221968,14.622458005023837,12 29 21.3,+08 09 24
IC3413,6595.543506983077,13.503643258869921,12 29 22.5,+11 26 02
IC3412,6578.602454680009,14.21386891757129,12 29 22.6,+09 59 19
PGC041156,6592.947682752722,14.345364743469602,12 29 23.5,+12 27 03
IC0796,6597.310320481236,14.819247394664615,12 29 26.3,+16 24 17
SDSSJ122927.63+055825.0,6558.44814268895,12.3221090527502,12 29 27.6,+05 58 25
NGC4469,6577.155479254843,14.391916927109698,12 29 28.0,+08 45 00
SDSSJ122928.18+203348.8,6574.0823806052695,13.22013298704492,12 29 28.2,+20 33 49
PGC041167,6580.899254460075,13.524811964792214,12 29 28.7,+12 29 46
IC3414,6595.737385724581,10.973865113923697,12 29 28.8,+06 46 17
NGC4467,6576.789101126689,11.950143730083305,12 29 30.3,+07 59 34
NGC4466,6597.5658930174595,14.78067639968787,12 29 30.6,+07 41 47
NGC4468,6574.6876028055585,14.745114552165958,12 29 30.9,+14 02 57
PGC041174,6600.288659860678,13.18329990739322,12 29 32.0,+13 30 38
UGC07625,6556.884862218178,11.854206625897888,12 29 32.7,+00 50 22
SDSSJ122933.64+131145.6,6607.891315335969,14.899167401352805,12 29 33.6,+13 11 46
SDSSJ122934.46+075851.5,6575.06840007409,13.039576645096467,12 29 34.5,+07 58 52
PGC041180,6576.474917922639,15.05668213724168,12 29 35.0,+08 03 29
IC3416,6588.023365143903,13.591068442712427,12 29 35.1,+10 47 36
PGC041182,6569.940901347446,13.94788430156288,12 29 35.6,+13 12 40
PGC041185,6581.526362363793,13.966368052670894,12 29 37.1,+07 55 58
NGC4470,6581.481773984164,12.897232438596816,12 29 37.8,+07 49 27
PGC041191,6580.084937376762,13.8465137637317,12 29 37.9,+07 06 24
PGC041192,6587.903096302966,14.49185199235147,12 29 38.5,+11 17 56
PGC041196,6578.750472234591,12.782996587473242,12 29 39.1,+03 36 46
PGC041195,6598.028068293522,14.412774111652261,12 29 39.2,+12 32 54
PGC041193,6590.559553950059,14.774226724189631,12 29 40.6,+10 23 06
PGC041206,6587.053525698424,14.631124033658978,12 29 43.4,+17 30 56
PGC041209,6584.700323656303,13.916222241775714,12 29 44.1,+12 48 20
PGC041211,6580.2440098887755,11.254322681512647,12 29 44.6,+15 01 29
PGC041214,6585.317540196856,11.166959651286994,12 29 45.0,+17 17 15
PGC041216,6567.333436057605,12.64306799449436,12 29 45.2,+05 55 13
PGC135806,6555.788167846642,12.057319825817459,12 29 46.2,-01 17 42
NGC4472,6553.3812403050815,12.650803348013433,12 29 46.7,+07 59 59
PGC041223,6588.414244916357,15.085781078385327,12 29 47.3,+06 57 55
NGC4473,6584.074034317953,14.724032113954216,12 29 48.9,+13 25 46
PGC1213772,6570.405348404548,11.76074271809355,12 29 50.6,+02 01 54
PGC041237,6591.688371155717,14.457095785727596,12 29 51.2,+13 52 04
NGC4474,6598.2433406878545,13.4782016590337,12 29 53.6,+14 04 07
PGC041240,6607.373271388653,12.062396882974163,12 29 53.9,+10 20 17
PGC041243,6588.461259438656,13.909528179596375,12 29 54.7,+07 08 18
PGC041245,6588.070503699599,12.537233195216452,12 29 56.3,+13 13 12
PGC083546,6539.097833497391,14.256024493730266,12 29 58.8,+00 01 38
NGC4476,6574.420682863646,13.13330720147141,12 29 59.1,+12 20 55
PGC1346685,6593.534920698794,12.372042630025987,12 29 59.5,+08 25 55
UGC07636,6568.571696865013,13.13378058224803,12 30 00.6,+07 55 46
PGC041259,6598.268503291238,11.414574956817642,12 30 02.0,+09 28 26
PGC1143998,6584.989504134922,12.482812704550412,12 30 02.1,-00 24 38
NGC4477,6605.441045452071,14.284616343219831,12 30 02.2,+13 38 11
PGC1364593,6587.937419956714,12.986874905476085,12 30 02.6,+09 24 12
PGC041264,6575.638334726301,13.509721348441087,12 30 05.1,+08 04 25
PGC041263,6586.088472290227,14.117198517118766,12 30 05.1,+17 23 52
NGC4482,6603.525787270734,14.81396049705942,12 30 10.3,+10 46 46
PGC041273,6575.623355583968,13.017245295389259,12 30 10.9,+12 11 44
UGC07642,6538.332600962513,12.350189364336998,12 30 13.8,+02 37 30
PGC041284,6591.718899620396,12.58430648770782,12 30 16.1,+10 31 59
IC3430,6570.773925305919,13.496681462937232,12 30 16.8,+09 05 07
NGC4478,6579.062777620949,13.354565813365106,12 30 17.4,+12 19 43
NGC4479,6580.604212126065,12.378508497569552,12 30 18.4,+13 34 39
PGC041308,6607.997990498097,12.774308039121244,12 30 20.4,+14 08 25
PGC3294304,6554.884460580583,13.552792311597514,12 30 21.5,-01 38 17
VCC1287,6591.933566447883,13.824581564829131,12 30 24.5,+13 58 49
NGC4480,6565.715831792556,11.950843797692286,12 30 26.8,+04 14 47
IC3436,6596.43030121126,15.079727323378957,12 30 29.9,+19 40 23
NGC4486B,6574.996104334929,14.200255047438567,12 30 32.0,+12 29 25
PGC041325,6576.62278275693,11.709346823409987,12 30 32.4,+10 15 40
AGC229379,6589.674490125447,14.065348890485438,12 30 34.0,+23 12 20
PGC041336,6593.470817140775,14.425503978530838,12 30 38.6,+15 36 29
IC3435,6595.77329871658,14.158598022536506,12 30 39.9,+15 07 47
NGC4483,6593.611905515889,14.89578266451089,12 30 40.6,+09 00 56
PGC1290662,6571.892893908986,13.857514269703785,12 30 42.0,+05 52 44
PGC041345,6575.821466300575,12.757737494638203,12 30 44.6,+13 47 58
SDSSJ123044.76+054919.5,6572.50251645119,10.39204472847879,12 30 44.8,+05 49 19
IC3437,6579.788437208037,14.884467697284276,12 30 45.9,+11 20 36
PGC169451,6584.539795907042,14.56029614054652,12 30 46.4,+12 05 57
PGC041356,6585.922628327802,12.575345683123523,12 30 47.3,+07 36 19
PGC1180748,6577.427903233162,12.057689990906962,12 30 47.8,+00 58 33
PGC041360,6586.066629452868,13.702955696337334,12 30 48.6,+12 02 43
PGC041358,6598.265598853975,13.303996479260181,12 30 49.0,+13 13 26
NGC4486,6596.489483825526,14.106479852060126,12 30 49.5,+12 23 26
NGC4488,6600.314753774552,14.612220353775491,12 30 51.4,+08 21 36
NGC4489,6586.270418457936,13.6516144319522,12 30 52.2,+16 45 32
PGC1180413,6565.047660976293,12.453242981836091,12 30 54.3,+00 57 51
PGC041370,6601.654546492985,14.893133197865659,12 30 55.7,+14 46 26
AGC724906,6588.637610671752,13.65653554905149,12 30 56.0,+26 30 40
NGC4491,6591.618123309795,12.600634516627771,12 30 57.1,+11 29 00
NGC4486A,6571.754695605411,14.609905692354353,12 30 57.7,+12 16 14
NGC4492,6568.000414723414,14.45249802923226,12 30 59.7,+08 04 40
PGC041387,6600.036475225532,14.598536673394399,12 31 00.3,+15 43 51
PGC041391,6595.717195849696,14.414393283980118,12 31 01.1,+07 43 24
SDSSJ123102.35+180012.4,6589.4393615400695,11.004768521187476,12 31 02.3,+18 00 12
PGC041395,6539.34253388068,14.40459918832395,12 31 03.7,+01 40 33
SDSSJ123109.18+181311.8,6605.791863683459,9.931442411415194,12 31 09.2,+18 13 12
PGC041411,6602.54804244413,10.99967859723711,12 31 10.4,+13 05 51
IC3443,6590.3643403925735,12.053367715627537,12 31 15.7,+12 19 54
PGC135807,6539.354330083113,10.909036983006501,12 31 16.7,+00 59 38
PGC041428,6578.696443980138,13.200946227649084,12 31 17.1,+13 49 41
PGC041432,6568.25739593241,13.34608295929177,12 31 19.4,+12 44 17
PGC041433,6614.842208058011,11.789258470244746,12 31 19.6,+12 36 41
IC3442,6578.204826408218,12.803654419388906,12 31 20.2,+14 06 55
PGC3294282,6524.930762502827,15.136055914090292,12 31 20.3,-01 41 45
IC3446,6599.992277778914,11.16761959474518,12 31 23.0,+11 29 33
IC3448,6586.7547965318445,13.862421252951485,12 31 23.1,+17 12 23
NGC4494,6588.379439433735,10.501818909333934,12 31 24.1,+25 46 29
PGC041442,6576.3013182497425,14.774684857580418,12 31 24.7,+09 28 28
PGC041454,6588.545526254634,12.456764976754272,12 31 31.7,+11 36 11
NGC4497,6595.467441451162,14.840035344084889,12 31 32.5,+11 37 29
AGC229380,6589.931740802729,14.804697028892662,12 31 32.8,+23 29 18
PGC041458,6583.1740801204205,14.29707393339589,12 31 33.4,+12 03 50
IC3453,6591.207293423902,14.84951416198788,12 31 37.8,+14 51 32
PGC041469,6591.739176142434,12.946196303737835,12 31 39.0,+10 50 25
NGC4496A,6567.403615285323,13.324310974879332,12 31 39.3,+03 56 23
NGC4498,6575.381392215793,14.333046641928554,12 31 39.5,+16 51 10
PGC041463,6585.680703673073,12.555930920984636,12 31 42.4,+20 28 54
PGC041488,6568.319450990118,12.579795875819464,12 31 48.0,-02 58 13
IC3457,6597.164913398194,14.014234634172833,12 31 51.4,+12 39 25
PGC041495,6600.501028507381,13.645622859048558,12 31 52.0,+12 28 54
SDSSJ123152.89+121559.0,6585.70528231976,15.230340279722384,12 31 52.9,+12 15 59
PGC041515,6575.005153359039,11.96107004947671,12 31 53.9,+14 18 23
PGC041502,6573.938009080865,13.432662605127263,12 31 53.9,+05 10 23
IC0797,6597.010866602902,12.374727051948106,12 31 54.8,+15 07 26
PGC041507,6565.822305438329,13.962511073452177,12 31 55.8,+08 36 08
IC3459,6603.917086849996,14.440838689097873,12 31 56.0,+12 10 26
PGC041508,6582.845712381973,13.530099273081873,12 31 56.4,+11 58 21
PGC1207749,6549.603615894892,13.082940648485895,12 31 59.0,+01 50 37
EVCC0819,6584.267122640694,13.56904862914066,12 31 59.1,+18 20 52
NGC4501,6598.482953549468,12.880315181290662,12 31 59.3,+14 25 12
PGC041516,6570.339396082113,14.808314351355744,12 32 00.8,+12 37 13
IC3461,6580.9416296762365,14.203373005842629,12 32 02.7,+11 53 24
NGC4502,6569.125751473374,13.094703031212681,12 32 03.3,+16 41 16
IC3466,6577.812116535461,13.103737837858226,12 32 05.6,+11 49 04
NGC4503,6580.607683590675,14.448389377068693,12 32 06.2,+11 10 35
PGC041541,6578.416216835116,10.96247491170637,12 32 09.3,+12 50 20
PGC041544,6606.597617087459,11.140317458317718,12 32 09.6,+15 18 04
AGC229385 = ComaP,6589.8092204069235,12.526407756896013,12 32 09.6,+20 25 46
PGC1126897,6587.335896661306,11.977337221943735,12 32 09.7,-01 05 42
NGC4506,6582.699933592419,14.160842879402399,12 32 10.5,+13 25 11
IC3465,6591.911950519257,13.934716137948254,12 32 12.2,+12 03 41
IC3468,6563.953284112049,13.146368819712528,12 32 14.2,+10 15 05
IC3473,6581.311072426783,10.760783405229002,12 32 19.1,+18 14 41
IC3471,6595.24308675358,13.464307642737104,12 32 22.8,+16 01 08
IC3470,6556.508582702914,12.519961885309616,12 32 23.4,+11 15 47
PGC041570,6601.125464450054,14.329131664177932,12 32 23.5,+11 53 36
PGC041571,6592.686924841701,15.00158160028046,12 32 23.6,-01 44 25
PGC041574,6572.272821762192,11.973302476416464,12 32 25.5,+05 39 20
NGC4517A,6547.4801653552,11.556866604426702,12 32 28.0,+00 23 26
UGC07688,6586.7493173422645,14.22541609116795,12 32 32.4,+08 02 43
IC0798,6587.425667246892,11.161271804890426,12 32 33.4,+15 24 55
Mrk772,6578.632499068308,12.075629406687973,12 32 33.5,+09 10 25
PGC041592,6582.445539085863,14.668475229898007,12 32 35.8,+08 05 33
PGC041593,6587.541811264301,12.526096429490082,12 32 35.9,+09 53 11
PGC1161319,6574.749206444369,12.272897570272914,12 32 36.1,+00 15 45
PGC041598,6580.410884305956,14.337802294089158,12 32 36.2,+18 01 23
PGC041595,6560.03482354355,14.132981220577754,12 32 36.2,+05 23 17
IC3474,6561.307858122901,14.809543778566248,12 32 36.5,+02 39 41
PGC041603,6584.419254976497,14.420641129812445,12 32 39.0,+10 05 31
IC3475,6580.316169560955,13.262655383914272,12 32 40.8,+12 46 16
IC3476,6600.962323319729,15.06841003832685,12 32 41.9,+14 03 02
PGC041607,6578.804110723913,13.876560655093122,12 32 42.7,+15 54 36
PGC169515,6570.577652808035,14.573264958196113,12 32 42.8,+15 02 10
IC3478,6613.105524144923,12.13910617349368,12 32 44.2,+14 11 46
NGC4437 = N4517,6580.8773979009275,11.51917779030536,12 32 45.5,+00 06 52
PGC1198892,6557.372214062318,13.483441351097905,12 32 46.5,+01 34 09
PGC041619,6570.116429833758,11.41608506582795,12 32 46.7,+07 47 57
PGC041626,6578.650781682673,14.78671203328588,12 32 50.6,+02 47 51
PGC041631,6581.78103119675,12.78111970808888,12 32 51.3,+02 37 43
UGC07697,6590.348535238407,14.280768591891434,12 32 51.6,+20 11 01
PGC041644,6586.598567630203,13.7846499177157,12 32 55.6,+03 21 37
PGC041647,6594.880458907523,12.495041707503724,12 32 58.0,+04 34 42
NGC4515,6593.5721143029605,13.010769778215565,12 33 05.0,+16 15 56
NGC4516,6609.1069913321135,14.538906786789063,12 33 07.5,+14 34 30
KDG155,6589.456908279148,14.291467474045017,12 33 07.9,-00 31 58
PGC041664,6571.230315824228,13.606629654794748,12 33 09.0,+10 50 10
IC3483,6592.867661423872,14.811704919693415,12 33 10.1,+11 20 51
IC3487,6571.760997168297,14.71797545300706,12 33 13.5,+09 23 50
IC3490,6572.207152922711,11.026359373194744,12 33 13.9,+10 55 43
IC3486,6600.1741510742595,14.959473851304459,12 33 14.0,+12 51 28
PGC041695,6592.757414546649,14.919245166295493,12 33 18.2,+02 02 48
UGC07707,6589.843930665971,11.648213355949522,12 33 18.5,+17 27 34
PGC041697,6587.142206938952,12.82135409836853,12 33 18.8,+09 07 14
IC3492,6588.360246292438,13.636911597255825,12 33 19.8,+12 51 13
PGC041700,6565.5134453000455,14.407274486157299,12 33 20.8,+01 31 19
PGC041699,6581.369144609207,11.800100864014574,12 33 20.9,+07 51 16
NGC4519A,6603.706448076722,14.436279477786059,12 33 24.7,+08 41 27
PGC041712,6565.550220214625,14.505850689628808,12 33 26.5,+06 37 00
PGC041716,6562.929659239839,14.641915449680834,12 33 29.5,+03 47 38
NGC4519,6601.3554304922,14.925243304547259,12 33 30.3,+08 39 17
PGC041720,6555.949680389603,14.185669936179277,12 33 31.6,+09 27 33
PGC041723,6581.91350221875,14.935896258639591,12 33 34.7,+11 15 43
PGC041726,6600.523178418057,13.107864402645127,12 33 37.7,+07 52 17
NGC4522,6592.501668174011,13.003756967005927,12 33 39.7,+09 10 30
SDSSJ123340.31+124413.5,6587.795649568729,14.693899837659881,12 33 40.3,+12 44 14
AGC742455,6581.977808452289,12.706639493754853,12 33 41.6,+23 59 14
PGC041734,6575.797354263508,12.292246099167428,12 33 42.2,+07 47 00
IC3499,6581.22420195677,14.582898654551514,12 33 44.9,+10 59 43
UGC07710,6585.668698744415,13.434400035080571,12 33 45.4,-02 38 58
NGC4523,6596.517495661813,12.868200613930473,12 33 48.1,+15 10 06
PGC041744,6590.502907262494,11.62684407221061,12 33 48.7,+12 46 48
IC3501,6605.306017067817,12.125429938430997,12 33 51.6,+13 19 21
UGC07715,6572.149504265938,13.84927447320105,12 33 55.7,+03 32 45
PGC041761,6565.697186060952,13.152811468268084,12 33 55.7,+05 43 08
PGC041762,6607.743196032308,13.22074578938706,12 33 56.1,+10 34 41
IC0800,6594.818936748091,11.967320530173133,12 33 56.7,+15 21 17
PGC1164663,6574.051356855771,13.328967524176704,12 33 58.6,+00 23 12
PGC041770,6572.121360816516,12.290236575399732,12 34 01.5,+05 57 10
PGC1205134,6566.663568124226,12.035511545235277,12 34 02.1,+01 45 56
NGC4526,6585.814529374889,14.364923047661282,12 34 03.0,+07 41 57
NGC4528,6575.5383313511775,11.865015044815493,12 34 06.1,+11 19 16
PGC041782,6591.218344688975,14.927077491135215,12 34 06.7,+12 44 30
NGC4527,6578.859118166535,14.210624196739378,12 34 08.5,+02 39 14
IC3509,6587.803301672567,14.477883086802855,12 34 11.5,+12 02 56
IC3510,6574.872140480748,12.326161870857941,12 34 14.8,+11 04 17
PGC041802,6564.881422387646,14.073134921056877,12 34 14.9,+02 17 47
NGC4531,6580.178909773052,13.760170064844303,12 34 15.9,+13 04 31
PGC041805,6550.887032381772,11.347672230988167,12 34 16.2,+16 03 30
PGC041807,6567.846694878806,13.5209555992043,12 34 16.9,+03 44 02
NGC4532,6584.1960658126545,14.14112505254058,12 34 19.3,+06 28 05
NGC4535,6568.3866324684095,12.62280917266812,12 34 20.3,+08 11 53
NGC4533,6547.689099079187,14.344676271834004,12 34 22.0,+02 19 32
NGC4536,6565.898913686724,11.131348863428762,12 34 27.1,+02 11 17
PGC041826,6572.259540010698,14.508749609527339,12 34 30.4,+11 44 04
PGC1181814,6580.120497608623,11.869443237459194,12 34 30.6,+01 00 41
IC3517,6603.510051929873,14.557680565912523,12 34 30.9,+09 09 16
IC3518,6572.063055148178,13.603827089254636,12 34 31.3,+09 37 24
IC3520,6586.332046023539,14.40518310191305,12 34 31.8,+13 30 13
PGC041831,6597.299161387966,12.613136928917712,12 34 32.2,+16 01 58
PGC041835,6579.912069688965,13.113495818569316,12 34 32.6,+10 32 53
NGC4539,6601.149184051929,14.636885244781034,12 34 34.7,+18 12 10
PGC041840,6591.630118215427,13.06672081539196,12 34 35.0,+02 34 07
PGC041845,6594.9290568105025,13.311715365956815,12 34 38.4,+15 36 10
IC3521,6581.529987211456,12.845842463725255,12 34 39.5,+07 09 37
DDO137,6578.6726556924,13.159898022313598,12 34 45.0,+06 18 03
PGC041863,6617.748474592794,13.646466868646606,12 34 45.2,+16 01 27
IC3522,6605.978286350548,12.767409063707614,12 34 45.7,+15 13 14
IC3530,6590.715870839063,14.438781419795966,12 34 49.3,+17 48 51
PGC041874,6584.000154072888,14.693934985375357,12 34 49.5,+06 50 11
NGC4540,6582.510220007724,14.049094226533555,12 34 50.8,+15 33 05
SDSSJ123453.22+241946.7,6597.853105649942,14.616193731069433,12 34 53.2,+24 19 46
PGC041890,6579.224706474722,13.98764611159871,12 35 01.0,+09 11 10
PGC041893,6578.811570479836,12.758173487169216,12 35 02.5,+05 25 31
PGC041907,6582.597318124748,14.697497733402027,12 35 07.8,+13 33 52
AGC225874,6600.468803377438,12.881169411570568,12 35 08.0,+12 30 20
PGC041906,6586.953260130439,12.871272615194474,12 35 08.2,+13 29 07
PGC041918,6599.771180521296,14.824921014593095,12 35 13.9,+10 25 53
PGC041917,6585.846795066137,12.299404356289816,12 35 14.7,+12 14 15
PGC3296254,6579.561510140976,14.606185181944177,12 35 18.2,-01 22 49
NGC4543,6569.555150099543,11.543348315275512,12 35 20.2,+06 06 54
PGC1811760,6597.536967870712,14.407869884851316,12 35 21.3,+27 33 49
SDSSJ123524.43+050253.8,6562.729864092939,11.402165949586724,12 35 24.4,+05 02 54
NGC4548,6603.018723987819,11.541773029135964,12 35 26.5,+14 29 46
IC3540,6577.38726233195,13.114905479948042,12 35 27.2,+12 45 01
PGC041937,6617.828887188571,14.11591882116375,12 35 28.0,+14 15 41
NGC4550,6610.399818002953,14.742720182083424,12 35 30.6,+12 13 15
PGC041942,6562.904524039355,14.89417154963698,12 35 30.9,+06 20 02
PGC041945,6586.207594527632,12.851147849820926,12 35 32.0,+16 36 44
NGC4562,6603.816676464979,14.871907255382006,12 35 34.6,+25 50 59
NGC4544,6568.88500999713,14.136963489622389,12 35 36.6,+03 02 04
PGC041959,6596.177838939382,13.624899885421012,12 35 37.2,+12 22 55
NGC4551,6569.119356449319,11.994213063899913,12 35 38.0,+12 15 50
PGC041962,6570.014073254444,14.235586060325481,12 35 38.5,+09 35 22
NGC4552,6594.757018385174,14.324551601483229,12 35 39.8,+12 33 22
PGC041979,6591.878957243425,14.598109575997604,12 35 45.5,+12 10 53
SDSSJ123549.46+201755.0,6594.711601687294,14.749835334888157,12 35 49.5,+20 17 55
PGC041994,6578.221456208829,12.151783811275763,12 35 51.9,+13 51 31
PGC041993,6612.486679182301,14.44679261499763,12 35 53.1,+11 40 55
PGC042001,6597.28649894177,14.136242200169065,12 35 56.6,+10 56 11
NGC4559,6621.162040285059,13.586643991600106,12 35 57.7,+27 57 35
AGC229321,6600.9038249886125,14.71091389573385,12 35 59.1,+17 45 38
PGC042008,6568.917016199904,13.917236539273723,12 36 02.8,+07 12 01
PGC1129667,6551.79872500219,12.409346759783976,12 36 07.7,-00 59 18
NGC4561,6589.3421156344,12.099282102380052,12 36 08.1,+19 19 22
IC3562,6577.6458624408415,11.327270272798796,12 36 10.6,+09 55 21
IC3571,6582.527900729547,14.592053469226464,12 36 20.0,+26 05 02
NGC4565,6563.588930707718,14.828754064452099,12 36 20.8,+25 59 15
PGC042046,6572.940802448444,14.514499209929333,12 36 24.8,+10 23 05
NGC4564,6584.030417558444,11.393501224125021,12 36 27.0,+11 26 21
